

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 22survey.b   26 III24
/datum  52000.00
/ 060.3316903   015.5070749 
/UTC+01
/33V
/GPS datum WGS84 
/000A09BA
/no AC filter
/12.5V
/tune initialize Y auto-tune Y 049.3uT
/115200bps
/time nT sq 
094725.0  47070.96 09 
094730.0  51741.58 56 
094735.0  51518.86 19 
094740.0  51768.36 99 
094745.0  51768.10 99 
094750.0  51768.10 99 
094755.0  51767.96 99 
094800.0  51767.91 99 
094805.0  51767.87 99 
094810.0  51767.89 99 
094815.0  51767.91 99 
094820.0  51767.86 99 
094825.0  51767.62 99 
094830.0  51767.51 99 
094835.0  51767.58 99 
094840.0  51767.54 99 
094845.0  51767.60 99 
094850.0  51767.66 99 
094855.0  51767.60 99 
094900.0  51767.72 99 
094905.0  51767.78 99 
094910.0  51767.76 99 
094915.0  51767.91 99 
094920.0  51768.06 99 
094925.0  51768.05 99 
094930.0  51768.05 99 
094935.0  51768.01 99 
094940.0  51767.93 99 
094945.0  51767.92 99 
094950.0  51767.86 99 
094955.0  51767.87 99 
095000.0  51767.82 99 
095005.0  51767.78 99 
095010.0  51767.67 99 
095015.0  51767.54 99 
095020.0  51767.57 99 
095025.0  51767.47 99 
095030.0  51767.53 99 
095035.0  51767.29 99 
095040.0  51767.30 99 
095045.0  51767.40 99 
095050.0  51767.59 99 
095055.0  51767.68 99 
095100.0  51767.68 99 
095105.0  51767.66 99 
095110.0  51767.68 99 
095115.0  51767.53 99 
095120.0  51767.57 99 
095125.0  51767.52 99 
095130.0  51767.63 99 
095135.0  51767.43 99 
095140.0  51767.44 99 
095145.0  51767.38 99 
095150.0  51767.30 99 
095155.0  51767.21 99 
095200.0  51767.21 99 
095205.0  51767.03 99 
095210.0  51767.07 99 
095215.0  51766.90 99 
095220.0  51766.81 99 
095225.0  51766.76 99 
095230.0  51766.89 99 
095235.0  51766.80 99 
095240.0  51766.86 99 
095245.0  51766.86 99 
095250.0  51766.85 99 
095255.0  51766.90 99 
095300.0  51767.01 99 
095305.0  51766.90 99 
095310.0  51766.92 99 
095315.0  51766.92 99 
095320.0  51766.80 99 
095325.0  51766.80 99 
095330.0  51766.67 99 
095335.0  51766.48 99 
095340.0  51766.44 99 
095345.0  51766.30 99 
095350.0  51766.29 99 
095355.0  51766.25 99 
095400.0  51766.20 99 
095405.0  51766.01 99 
095410.0  51766.04 99 
095415.0  51766.02 99 
095420.0  51766.12 99 
095425.0  51766.17 99 
095430.0  51766.22 99 
095435.0  51766.32 99 
095440.0  51766.44 99 
095445.0  51766.61 99 
095450.0  51766.73 99 
095455.0  51766.88 99 
095500.0  51766.97 99 
095505.0  51767.01 99 
095510.0  51767.11 99 
095515.0  51767.04 99 
095520.0  51767.04 99 
095525.0  51766.89 99 
095530.0  51766.70 99 
095535.0  51766.70 99 
095540.0  51766.59 99 
095545.0  51766.46 99 
095550.0  51766.42 99 
095555.0  51766.33 99 
095600.0  51766.22 99 
095605.0  51766.27 99 
095610.0  51766.42 99 
095615.0  51766.42 99 
095620.0  51766.53 99 
095625.0  51766.67 99 
095630.0  51766.68 99 
095635.0  51766.71 99 
095640.0  51766.70 99 
095645.0  51766.86 99 
095650.0  51766.80 99 
095655.0  51766.62 99 
095700.0  51766.54 99 
095705.0  51766.42 99 
095710.0  51766.33 99 
095715.0  51766.23 99 
095720.0  51766.27 99 
095725.0  51766.22 99 
095730.0  51766.12 99 
095735.0  51765.92 99 
095740.0  51766.15 99 
095745.0  51766.08 99 
095750.0  51766.03 99 
095755.0  51766.03 99 
095800.0  51766.06 99 
095805.0  51766.12 99 
095810.0  51766.09 99 
095815.0  51766.20 99 
095820.0  51766.13 99 
095825.0  51766.35 99 
095830.0  51766.53 99 
095835.0  51766.45 99 
095840.0  51766.48 99 
095845.0  51766.71 99 
095850.0  51766.57 99 
095855.0  51766.68 99 
095900.0  51766.71 99 
095905.0  51766.64 99 
095910.0  51766.72 99 
095915.0  51766.72 99 
095920.0  51766.57 99 
095925.0  51766.68 99 
095930.0  51766.64 99 
095935.0  51766.66 99 
095940.0  51766.55 99 
095945.0  51766.63 99 
095950.0  51766.55 99 
