

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 07survey.b   15 IV 24
/datum  52000.00
/ 065.2310530   019.7110038 
/UTC+01
/34W
/GPS datum WGS84 
/000510C2
/no AC filter
/12.7V
/tune initialize Y auto-tune Y 051.8uT
/115200bps
/time nT sq 
054130.0  52929.76 99 
054135.0  52929.78 99 
054140.0  52929.73 99 
054145.0  52929.61 99 
054150.0  52929.04 99 
054155.0  52930.57 99 
054200.0  52928.66 99 
054205.0  52928.18 99 
054210.0  52928.18 99 
054215.0  52928.07 99 
054220.0  52927.79 99 
054225.0  52927.64 99 
054230.0  52927.49 99 
054235.0  52927.44 99 
054240.0  52927.39 99 
054245.0  52927.46 99 
054250.0  52927.37 99 
054255.0  52927.37 99 
054300.0  52927.25 99 
054305.0  52927.16 99 
054310.0  52927.05 99 
054315.0  52927.08 99 
054320.0  52927.18 99 
054325.0  52927.39 99 
054330.0  52927.69 99 
054335.0  52927.87 99 
054340.0  52928.12 99 
054345.0  52928.07 99 
054350.0  52927.94 99 
054355.0  52927.83 99 
054400.0  52927.75 99 
054405.0  52927.55 99 
054410.0  52927.42 99 
054415.0  52927.32 99 
054420.0  52927.12 99 
054425.0  52927.00 99 
054430.0  52926.93 99 
054435.0  52926.79 99 
054440.0  52926.72 99 
054445.0  52926.82 99 
054450.0  52926.98 99 
054455.0  52927.23 99 
054500.0  52927.64 99 
054505.0  52928.00 99 
054510.0  52928.37 99 
054515.0  52928.65 99 
054520.0  52928.59 99 
054525.0  52928.44 99 
054530.0  52928.02 99 
054535.0  52927.63 99 
054540.0  52927.15 99 
054545.0  52926.81 99 
054550.0  52926.59 99 
054555.0  52926.53 99 
054600.0  52926.34 99 
054605.0  52926.39 99 
054610.0  52926.35 99 
054615.0  52926.31 99 
054620.0  52926.17 99 
054625.0  52926.18 99 
054630.0  52926.36 99 
054635.0  52926.33 99 
054640.0  52926.27 99 
054645.0  52926.21 99 
054650.0  52926.17 99 
054655.0  52926.07 99 
054700.0  52925.90 99 
054705.0  52925.62 99 
054710.0  52925.31 99 
054715.0  52924.87 99 
054720.0  52924.68 99 
054725.0  52924.42 99 
054730.0  52924.38 99 
054735.0  52924.60 99 
054740.0  52925.06 99 
054745.0  52925.65 99 
054750.0  52926.18 99 
054755.0  52926.77 99 
054800.0  52927.18 99 
054805.0  52927.33 99 
054810.0  52927.42 99 
054815.0  52927.29 99 
054820.0  52926.86 99 
054825.0  52926.26 99 
054830.0  52925.60 99 
054835.0  52924.84 99 
054840.0  52924.14 99 
054845.0  52923.56 99 
054850.0  52923.15 99 
054855.0  52922.91 99 
054900.0  52922.88 99 
054905.0  52923.03 99 
054910.0  52923.28 99 
054915.0  52923.68 99 
054920.0  52924.16 99 
054925.0  52924.85 99 
054930.0  52925.37 99 
054935.0  52925.90 99 
054940.0  52926.15 99 
054945.0  52926.35 99 
054950.0  52926.26 99 
054955.0  52926.01 99 
055000.0  52925.65 99 
055005.0  52925.16 99 
055010.0  52924.66 99 
055015.0  52924.23 99 
055020.0  52923.86 99 
055025.0  52923.51 99 
055030.0  52923.36 99 
055035.0  52923.20 99 
055040.0  52923.06 99 
055045.0  52922.91 99 
055050.0  52922.84 99 
055055.0  52922.64 99 
055100.0  52922.70 99 
055105.0  52922.84 99 
055110.0  52922.94 99 
055115.0  52922.89 99 
055120.0  52922.72 99 
055125.0  52922.67 99 
055130.0  52922.35 99 
055135.0  52922.08 99 
055140.0  52922.00 99 
055145.0  52922.01 99 
055150.0  52922.16 99 
055155.0  52922.60 99 
055200.0  52923.03 99 
055205.0  52923.49 99 
055210.0  52923.83 99 
055215.0  52924.15 99 
055220.0  52924.47 99 
055225.0  52924.52 99 
055230.0  52924.17 99 
055235.0  52923.73 99 
055240.0  52923.18 99 
055245.0  52922.55 99 
055250.0  52922.00 99 
055255.0  52921.43 99 
055300.0  52920.92 99 
055305.0  52920.49 99 
055310.0  52920.36 99 
055315.0  52920.34 99 
055320.0  52920.51 99 
055325.0  52921.03 99 
055330.0  52921.63 99 
055335.0  52922.34 99 
055340.0  52922.86 99 
055345.0  52923.46 99 
055350.0  52923.94 99 
055355.0  52924.38 99 
055400.0  52924.74 99 
055405.0  52924.82 99 
055410.0  52924.83 99 
055415.0  52924.70 99 
055420.0  52924.37 99 
055425.0  52924.01 99 
055430.0  52923.59 99 
055435.0  52923.26 99 
055440.0  52922.88 99 
055445.0  52922.31 99 
055450.0  52921.80 99 
055455.0  52921.30 99 
055500.0  52921.06 99 
055505.0  52921.17 99 
055510.0  52921.41 99 
055515.0  52921.70 99 
055520.0  52921.87 99 
055525.0  52922.00 99 
055530.0  52922.01 99 
055535.0  52921.88 99 
055540.0  52921.77 99 
055545.0  52921.60 99 
055550.0  52921.47 99 
055555.0  52921.33 99 
055600.0  52921.30 99 
055605.0  52921.25 99 
055610.0  52921.23 99 
055615.0  52921.19 99 
055620.0  52921.14 99 
055625.0  52921.10 99 
055630.0  52921.08 99 
055635.0  52921.16 99 
055640.0  52921.50 99 
055645.0  52921.81 99 
055650.0  52922.21 99 
055655.0  52922.50 99 
055700.0  52922.60 99 
055705.0  52922.47 99 
055710.0  52922.20 99 
055715.0  52921.85 99 
055720.0  52921.33 99 
055725.0  52921.00 99 
055730.0  52920.74 99 
055735.0  52920.47 99 
055740.0  52920.35 99 
055745.0  52920.33 99 
055750.0  52920.24 99 
055755.0  52920.07 99 
055800.0  52919.98 99 
055805.0  52919.81 99 
055810.0  52919.91 99 
055815.0  52919.84 99 
055820.0  52919.98 99 
055825.0  52920.15 99 
055830.0  52920.40 99 
055835.0  52920.62 99 
055840.0  52920.78 99 
055845.0  52920.86 99 
055850.0  52920.95 99 
055855.0  52921.01 99 
055900.0  52920.88 99 
055905.0  52920.81 99 
055910.0  52920.74 99 
055915.0  52920.61 99 
055920.0  52920.51 99 
055925.0  52920.25 99 
055930.0  52920.01 99 
055935.0  52920.08 99 
055940.0  52920.14 99 
055945.0  52920.12 99 
055950.0  52920.22 99 
055955.0  52920.31 99 
060000.0  52920.24 99 
060005.0  52920.04 99 
060010.0  52919.87 99 
060015.0  52919.69 99 
060020.0  52919.67 99 
060025.0  52919.81 99 
060030.0  52919.98 99 
060035.0  52920.29 99 
060040.0  52920.70 99 
060045.0  52921.11 99 
060050.0  52921.39 99 
060055.0  52921.48 99 
060100.0  52921.49 99 
060105.0  52921.52 99 
060110.0  52921.53 99 
060115.0  52921.58 99 
060120.0  52921.67 99 
060125.0  52921.82 99 
060130.0  52921.80 99 
060135.0  52921.65 99 
060140.0  52921.37 99 
060145.0  52921.05 99 
060150.0  52920.67 99 
060155.0  52920.56 99 
060200.0  52920.50 99 
060205.0  52920.74 99 
060210.0  52920.93 99 
060215.0  52921.30 99 
060220.0  52921.57 99 
060225.0  52921.72 99 
060230.0  52921.92 99 
060235.0  52922.02 99 
060240.0  52922.08 99 
060245.0  52922.13 99 
060250.0  52922.26 99 
060255.0  52922.27 99 
060300.0  52922.21 99 
060305.0  52922.16 99 
060310.0  52922.17 99 
060315.0  52922.31 99 
060320.0  52922.48 99 
060325.0  52922.68 99 
060330.0  52922.95 99 
060335.0  52923.26 99 
060340.0  52923.54 99 
060345.0  52923.76 99 
060350.0  52923.94 99 
060355.0  52923.97 99 
060400.0  52923.81 99 
060405.0  52923.51 99 
060410.0  52922.92 99 
060415.0  52922.48 99 
060420.0  52921.97 99 
060425.0  52921.48 99 
060430.0  52921.14 99 
060435.0  52920.96 99 
060440.0  52921.05 99 
060445.0  52921.11 99 
060450.0  52921.28 99 
060455.0  52921.64 99 
060500.0  52921.82 99 
060505.0  52922.20 99 
060510.0  52922.57 99 
060515.0  52922.92 99 
060520.0  52923.29 99 
060525.0  52923.61 99 
060530.0  52923.76 99 
060535.0  52923.91 99 
060540.0  52924.07 99 
060545.0  52924.03 99 
060550.0  52923.75 99 
060555.0  52923.35 99 
060600.0  52922.84 99 
060605.0  52922.36 99 
060610.0  52921.90 99 
060615.0  52921.56 99 
060620.0  52921.25 99 
060625.0  52920.96 99 
060630.0  52920.84 99 
060635.0  52920.83 99 
060640.0  52920.97 99 
060645.0  52921.37 99 
060650.0  52921.82 99 
060655.0  52922.34 99 
060700.0  52922.87 99 
060705.0  52923.20 99 
060710.0  52923.52 99 
060715.0  52923.73 99 
060720.0  52923.81 99 
060725.0  52923.74 99 
060730.0  52923.48 99 
060735.0  52923.15 99 
060740.0  52922.47 99 
060745.0  52921.81 99 
060750.0  52921.29 99 
060755.0  52920.81 99 
060800.0  52920.57 99 
060805.0  52920.39 99 
060810.0  52920.36 99 
060815.0  52920.48 99 
060820.0  52920.61 99 
060825.0  52920.79 99 
060830.0  52920.92 99 
060835.0  52921.12 99 
060840.0  52921.26 99 
060845.0  52921.39 99 
060850.0  52921.47 99 
060855.0  52921.30 99 
060900.0  52921.12 99 
060905.0  52920.86 99 
060910.0  52920.61 99 
060915.0  52920.37 99 
060920.0  52920.12 99 
060925.0  52920.03 99 
060930.0  52919.86 99 
060935.0  52919.80 99 
060940.0  52919.80 99 
060945.0  52919.84 99 
060950.0  52919.83 99 
060955.0  52919.73 99 
061000.0  52919.66 99 
061005.0  52919.60 99 
061010.0  52919.34 99 
061015.0  52918.97 99 
061020.0  52918.63 99 
061025.0  52918.51 99 
061030.0  52918.46 99 
061035.0  52918.41 99 
061040.0  52918.24 99 
061045.0  52918.28 99 
061050.0  52918.37 99 
061055.0  52918.48 99 
061100.0  52918.41 99 
061105.0  52918.14 99 
061110.0  52918.01 99 
061115.0  52918.03 99 
061120.0  52918.22 99 
061125.0  52918.19 99 
061130.0  52918.25 99 
061135.0  52918.21 99 
061140.0  52918.28 99 
061145.0  52918.48 99 
061150.0  52918.81 99 
061155.0  52919.21 99 
061200.0  52919.55 99 
061205.0  52919.99 99 
061210.0  52920.41 99 
061215.0  52920.57 99 
061220.0  52920.76 99 
061225.0  52920.82 99 
061230.0  52921.12 99 
061235.0  52921.40 99 
061240.0  52921.76 99 
061245.0  52922.06 99 
061250.0  52922.51 99 
061255.0  52923.04 99 
061300.0  52923.72 99 
061305.0  52924.29 99 
061310.0  52924.76 99 
061315.0  52925.13 99 
061320.0  52925.56 99 
061325.0  52925.92 99 
061330.0  52926.26 99 
061335.0  52926.45 99 
061340.0  52926.56 99 
061345.0  52926.74 99 
061350.0  52926.90 99 
061355.0  52927.06 99 
061400.0  52927.24 99 
061405.0  52927.66 99 
061410.0  52928.19 99 
061415.0  52928.77 99 
061420.0  52929.37 99 
061425.0  52929.92 99 
061430.0  52930.55 99 
061435.0  52931.07 99 
061440.0  52931.67 99 
061445.0  52932.24 99 
061450.0  52932.96 99 
061455.0  52933.79 99 
061500.0  52934.64 99 
061505.0  52935.50 99 
061510.0  52936.21 99 
061515.0  52936.84 99 
061520.0  52937.28 99 
061525.0  52937.62 99 
061530.0  52937.83 99 
061535.0  52937.83 99 
061540.0  52937.86 99 
061545.0  52937.81 99 
061550.0  52937.69 99 
061555.0  52937.47 99 
061600.0  52937.20 99 
061605.0  52936.94 99 
061610.0  52936.92 99 
061615.0  52936.82 99 
061620.0  52936.93 99 
061625.0  52936.97 99 
061630.0  52937.06 99 
061635.0  52937.19 99 
061640.0  52937.10 99 
061645.0  52936.95 99 
061650.0  52936.65 99 
061655.0  52936.27 99 
061700.0  52935.82 99 
061705.0  52935.37 99 
061710.0  52935.01 99 
061715.0  52934.62 99 
061720.0  52934.34 99 
061725.0  52934.13 99 
061730.0  52933.90 99 
061735.0  52933.74 99 
061740.0  52933.85 99 
061745.0  52934.09 99 
061750.0  52934.36 99 
061755.0  52934.57 99 
061800.0  52934.76 99 
061805.0  52934.88 99 
061810.0  52934.86 99 
061815.0  52934.83 99 
061820.0  52934.91 99 
061825.0  52934.90 99 
061830.0  52934.95 99 
061835.0  52934.99 99 
061840.0  52934.84 99 
061845.0  52934.64 99 
061850.0  52934.43 99 
061855.0  52934.26 99 
061900.0  52934.30 99 
061905.0  52934.35 99 
061910.0  52934.55 99 
061915.0  52934.68 99 
061920.0  52934.73 99 
061925.0  52934.83 99 
061930.0  52934.76 99 
061935.0  52934.62 99 
061940.0  52934.40 99 
061945.0  52934.07 99 
061950.0  52933.62 99 
061955.0  52933.20 99 
062000.0  52932.83 99 
062005.0  52932.81 99 
062010.0  52932.86 99 
062015.0  52932.92 99 
062020.0  52932.82 99 
062025.0  52932.69 99 
062030.0  52932.42 99 
062035.0  52932.33 99 
062040.0  52932.40 99 
062045.0  52932.66 99 
062050.0  52933.03 99 
062055.0  52933.39 99 
062100.0  52933.51 99 
062105.0  52933.52 99 
062110.0  52933.39 99 
062115.0  52933.06 99 
062120.0  52932.70 99 
062125.0  52932.60 99 
062130.0  52932.52 99 
